ActConfigID,RefGroupID,EditionID,ProductDescription,ProductKeyType,EULAType
{772e3d13-2cbc-4256-9086-c92967dfa9a8},3633,CoreARM,Win 10 Pre-Release CoreARM OEM:DM,OEM:DM,OEM
{3a2da408-3bd6-4496-b4eb-31effe3efc60},3634,CoreARM,Win 10 Pre-Release CoreARM OEM:NONSLP,OEM:NONSLP,OEM
{b554b49f-4d57-4f08-955e-87886f514d49},3635,CoreARM,Win 10 Pre-Release CoreARM Volume:GVLK,Volume:GVLK,Volume
{95c0226a-de13-4159-ab61-08adbbabecf2},3636,CoreConnected,Win 10 Pre-Release CoreConnected OEM:DM,OEM:DM,OEM
{6d6b352f-5210-4ac6-a432-82b2c5579a3e},3637,CoreConnected,Win 10 Pre-Release CoreConnected OEM:NONSLP,OEM:NONSLP,OEM
{541a0918-6b3e-4595-8d3a-3c889338847c},3638,CoreConnected,Win 10 Pre-Release CoreConnected Retail,Retail,Retail
{827a0032-dced-4609-ab6e-16b9d8a40280},3639,CoreConnected,Win 10 Pre-Release CoreConnected Volume:GVLK,Volume:GVLK,Volume
{6c90b1af-5ca1-4098-844e-b42777e9445b},3640,CoreConnected,Win 10 Pre-Release CoreConnected Volume:MAK,Volume:MAK,Volume
{526b6782-2a45-4ff9-8b7c-8f1e19db3cd1},3641,CoreConnectedN,Win 10 Pre-Release CoreConnectedN OEM:DM,OEM:DM,OEM
{b575fab6-9187-44c9-b1bf-3deceaec87a8},3642,CoreConnectedN,Win 10 Pre-Release CoreConnectedN OEM:NONSLP,OEM:NONSLP,OEM
{472d65dc-c533-4aae-a4d2-7daee5620cee},3643,CoreConnectedN,Win 10 Pre-Release CoreConnectedN Retail,Retail,Retail
{f18bbe32-16dc-48d4-a27b-5f3966f82513},3644,CoreConnectedN,Win 10 Pre-Release CoreConnectedN Volume:GVLK,Volume:GVLK,Volume
{c09bb9a9-af72-4cfb-b6c0-edc238abfaa7},3645,CoreConnectedN,Win 10 Pre-Release CoreConnectedN Volume:MAK,Volume:MAK,Volume
{fbdf0513-3b09-461c-a45f-2c39f2d326f4},3646,CoreConnectedCountrySpecific,Win 10 Pre-Release CoreConnectedCountrySpecific OEM:DM,OEM:DM,OEM
{ae42368e-9d6a-486c-9f73-64933b2461aa},3647,CoreConnectedCountrySpecific,Win 10 Pre-Release CoreConnectedCountrySpecific OEM:NONSLP,OEM:NONSLP,OEM
{7772d64d-d189-4cd1-8902-aab838ed40f2},3648,CoreConnectedCountrySpecific,Win 10 Pre-Release CoreConnectedCountrySpecific Retail,Retail,Retail
{b5fe5eaa-14cc-4075-84ae-57c0206d1133},3649,CoreConnectedCountrySpecific,Win 10 Pre-Release CoreConnectedCountrySpecific Volume:GVLK,Volume:GVLK,Volume
{b5f6b2dc-e971-4a55-badc-92d3b93a6a24},3650,CoreConnectedCountrySpecific,Win 10 Pre-Release CoreConnectedCountrySpecific Volume:MAK,Volume:MAK,Volume
{4a7c156a-267a-4840-9cad-7cbe91189dac},3651,CoreConnectedSingleLanguage,Win 10 Pre-Release CoreConnectedSingleLanguage OEM:DM,OEM:DM,OEM
{047fc935-aa04-44ac-bf6a-7696e5b72983},3652,CoreConnectedSingleLanguage,Win 10 Pre-Release CoreConnectedSingleLanguage OEM:NONSLP,OEM:NONSLP,OEM
{fbad2609-b6b3-490f-afb6-ba35f755367e},3653,CoreConnectedSingleLanguage,Win 10 Pre-Release CoreConnectedSingleLanguage Retail,Retail,Retail
{964a60f6-1505-4ddb-af03-6a9ce6997d3b},3654,CoreConnectedSingleLanguage,Win 10 Pre-Release CoreConnectedSingleLanguage Volume:GVLK,Volume:GVLK,Volume
{097b6c36-1773-4098-8b42-7798f835bdd5},3655,CoreConnectedSingleLanguage,Win 10 Pre-Release CoreConnectedSingleLanguage Volume:MAK,Volume:MAK,Volume
{850f2956-7708-4440-81f5-23af2ea83694},3656,ProfessionalStudent,Win 10 Pre-Release ProfessionalStudent OEM:DM,OEM:DM,OEM
{a9c39ea6-5ccb-4c9a-a114-7cb8ca215640},3657,ProfessionalStudent,Win 10 Pre-Release ProfessionalStudent OEM:NONSLP,OEM:NONSLP,OEM
{4008dd3d-c4e3-4a77-8ad4-4ddaace56736},3658,ProfessionalStudent,Win 10 Pre-Release ProfessionalStudent Retail,Retail,Retail
{49066601-00dc-4d2c-83a8-4343a7b990d1},3659,ProfessionalStudent,Win 10 Pre-Release ProfessionalStudent Volume:GVLK,Volume:GVLK,Volume
{f1bef60f-7d6b-48f5-891c-70faf3aa36cc},3660,ProfessionalStudent,Win 10 Pre-Release ProfessionalStudent Volume:MAK,Volume:MAK,Volume
{4d8e61f5-0ce8-4f5d-9c2d-41f0f6dacc7a},3661,ProfessionalStudentN,Win 10 Pre-Release ProfessionalStudentN OEM:DM,OEM:DM,OEM
{35fc726d-c8da-479e-984d-45a0a404293c},3662,ProfessionalStudentN,Win 10 Pre-Release ProfessionalStudentN OEM:NONSLP,OEM:NONSLP,OEM
{36ca82dc-a4af-4d86-8de6-6f34f26d7cb9},3663,ProfessionalStudentN,Win 10 Pre-Release ProfessionalStudentN Retail,Retail,Retail
{bd64ebf7-d5ec-44c5-ba00-6813441c8c87},3664,ProfessionalStudentN,Win 10 Pre-Release ProfessionalStudentN Volume:GVLK,Volume:GVLK,Volume
{dd3de47c-4c29-4d49-9033-bbfd88cf6bcc},3665,ProfessionalStudentN,Win 10 Pre-Release ProfessionalStudentN Volume:MAK,Volume:MAK,Volume
